ScanNumber	RetentionTime	MSLevel	PrecursorMZ	NCE	ScanTIC	TotalOxoSignal	ScanInjTime	DissociationType	PrecursorScan	NumOxonium	TotalOxoSignal	84.0444, HexNAc - C2H8O4	126.055, HexNAc - C2H6O3	138.055, HexNAc - CH6O3	144.0655, HexNAc - C2H4O2	168.0655, HexNAc - 2H2O	186.0761, HexNAc - H2O	204.0867, HexNAc	85.0284, Hex - C2H6O3	97.0284, Hex - CH6O3	127.0390, Hex - 2H2O	145.0495, Hex - H2O	163.0601, Hex	274.0921, NeuAc-H2O	292.1027, NeuAc	316.103, NeuAc[Ac] - H2O	334.113, NeuAc[Ac]	290.0870, NeuGc - H2O	308.0976, NeuGc	332.098, NeuGc[Ac] - H2O	350.1081, NeuGc[Ac]	243.0264, Man-P	405.0798, Man2-P	325.1129, Hex2	366.1395, HexNAc-Hex	407.1660, HexNAc2	454.1555, Hex-NeuAc	470.1503, Hex-NeuGc	495.1821, HexNAc-NeuAc	511.1769, HexNAc-NeuGc	528.1923, HexNAc-Hex2	537.1927, HexNAc-NeuAc[Ac]	553.1875, HexNAc-NeuGc[Ac]	569.2188, HexNAc2-Hex	657.2349, HexNAc-Hex-NeuAc	673.2297, HexNAc-Hex-NeuGc	690.2451, HexNAc-Hex3	731.2717, HexNAc2-Hex2 (diLacNAc)	819.2877, HexNAc-Hex2-NeuAc	835.2825, HexNAc-Hex2-NeuGc	860.3143, HexNAc2-Hex-NeuAc	876.3091, HexNAc2-Hex-NeuGc	893.3245, HexNAc2-Hex3	948.3303, HexNAc-Hex-NeuAc2	964.3251, HexNAc-Hex-NeuGc2	1022.3671, HexNAc2-Hex2-NeuAc1	1038.3619, HexNAc2-Hex2-NeuGc1	1313.4625, HexNAc2-Hex2-NeuAc2	1329.4573, HexNAc2-Hex2-NeuGc2	350.1446, HexNAc-dHex	512.1974, HexNAc-Hex-dHex (LeX/A)	674.2502, HexNAc-Hex2-dHex	803.2928, HexNAc-Hex-dHex-NeuAc (sLeX/A)	819.2908, HexNAc-Hex-dHex-NeuGc	877.3296, HexNAc2-Hex2-dHex (diLacNAc-Fuc)	OxoInPeakDepthThresh	OxoRequired	OxoTICfraction	LikelyGlycoSpectrum
3384	12.127634505333333	2	1135.879638671875	0	92423.875	26046.291015625	54	HCD	3380	4	26046.291015625	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	3	2	5	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.28181344934547486	False
3389	12.142783846133334	2	1216.9129638671875	0	97907.15625	19616.78271484375	54	HCD	3387	4	19616.78271484375	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	6	2	7	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.2003610713067131	False
3392	12.150471610399999	2	1630.5347900390625	0	95189.796875	14094.7080078125	54	HCD	3390	2	14094.7080078125	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	9	2	10	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.14806952499668835	False
3395	12.158001038133333	2	1712.0753173828125	0	103316.5	15854.377685546875	54	HCD	3393	3	15854.377685546875	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	7	4	11	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.15345445969953372	False
3397	12.161843282666666	2	1216.90771484375	0	57393.375	7078.287109375	54	HCD	3394	2	7078.287109375	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	2	4	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	3	8	0.12332934087558015	False
3398	12.1650549504	2	1303.7763671875	0	87009.71875	26846.78662109375	54	HCD	3394	4	26846.78662109375	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	2	3	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.3085492862956042	False
3399	12.166190876533333	2	1297.4364013671875	0	178037.203125	26265.540771484375	54	HCD	3394	4	26265.540771484375	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	8	5	15	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.14752838345277378	False
3401	12.167632038133332	2	1712.072998046875	0	115035.15625	22301.23095703125	54	HCD	3396	4	22301.23095703125	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	6	5	10	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.19386448181602092	False
3403	12.171448618133333	2	1622.0433349609375	0	97946.140625	18326.251220703125	54	HCD	3400	4	18326.251220703125	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	8	3	4	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	4	8	0.18710539388037398	False
3405	12.175288014666668	2	1378.9625244140625	0	101107.3125	15173.35107421875	54	HCD	3402	3	15173.35107421875	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	6	5	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	1	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	NotFound	3	8	0.150071747522898	False
