Glycan	Mass
HexNAc(5)Hex(4)NeuAc(1)	1954.7036
HexNAc(4)Hex(7)	1946.6872
HexNAc(5)Hex(3)Fuc(1)NeuAc(1)	1938.7087
HexNAc(4)Hex(6)Fuc(1)	1930.6923
HexNAc(4)Hex(5)Fuc(2)	1914.6974
HexNAc(4)Hex(5)NeuAc(1)	1913.677
HexNAc(7)Hex(3)	1907.7142
HexNAc(4)Hex(4)Fuc(3)	1898.7025
HexNAc(4)Hex(4)Fuc(1)NeuAc(1)	1897.6821
HexNAc(3)Hex(7)Fuc(1)	1889.6657
HexNAc(4)Hex(3)NeuAc(2)	1880.6668
HexNAc(3)Hex(6)Fuc(2)	1873.6708
HexNAc(3)Hex(6)NeuAc(1)	1872.6504
HexNAc(6)Hex(4)	1866.6876
HexNAc(2)Hex(9)	1864.634
HexNAc(3)Hex(5)Fuc(3)	1857.6759
HexNAc(3)Hex(5)Fuc(1)NeuAc(1)	1856.6555
HexNAc(6)Hex(3)Fuc(1)	1850.6927
HexNAc(2)Hex(8)Fuc(1)	1848.6391
HexNAc(5)Hex(5)	1825.661
HexNAc(5)Hex(4)Fuc(1)	1809.6661
HexNAc(5)Hex(3)Fuc(2)	1793.6712
HexNAc(4)Hex(6)	1784.6344
HexNAc(4)Hex(5)Fuc(1)	1768.6395
HexNAc(4)Hex(4)Fuc(2)	1752.6446
HexNAc(4)Hex(4)NeuAc(1)	1751.6242
HexNAc(4)Hex(3)Fuc(3)	1736.6497
HexNAc(4)Hex(3)Fuc(1)NeuAc(1)	1735.6293
HexNAc(3)Hex(6)Fuc(1)	1727.6129
HexNAc(3)Hex(5)Fuc(2)	1711.618
HexNAc(3)Hex(5)NeuAc(1)	1710.5976
HexNAc(6)Hex(3)	1704.6348
HexNAc(2)Hex(8)	1702.5812
HexNAc(3)Hex(4)Fuc(3)	1695.6231
HexNAc(3)Hex(4)Fuc(1)NeuAc(1)	1694.6027
HexNAc(2)Hex(7)Fuc(1)	1686.5863
HexNAc(5)Hex(4)	1663.6082
HexNAc(5)Hex(3)Fuc(1)	1647.6133
HexNAc(4)Hex(5)	1622.5816
HexNAc(4)Hex(4)Fuc(1)	1606.5867
HexNAc(4)Hex(3)NeuAc(1)	1589.5714
HexNAc(3)Hex(6)	1581.555
HexNAc(3)Hex(5)Fuc(1)	1565.5601
HexNAc(3)Hex(4)Fuc(2)	1549.5652
HexNAc(3)Hex(4)NeuAc(1)	1548.5448
HexNAc(2)Hex(7)	1540.5284
HexNAc(3)Hex(3)Fuc(3)	1533.5703
HexNAc(6)Hex(11)Fuc(1)	1526.5871
HexNAc(2)Hex(6)Fuc(1)	1524.5335
HexNAc(5)Hex(3)	1501.5554
HexNAc(4)Hex(4)	1460.5288
HexNAc(4)Hex(3)Fuc(1)	1444.5339
HexNAc(3)Hex(5)	1419.5022
HexNAc(3)Hex(4)Fuc(1)	1403.5073
HexNAc(3)Hex(3)Fuc(2)	1387.5124
HexNAc(2)Hex(6)	1378.4756
HexNAc(2)Hex(5)Fuc(1)	1362.4807
HexNAc(4)Hex(3)	1298.476
HexNAc(3)Hex(4)	1257.4494
HexNAc(3)Hex(3)Fuc(1)	1241.4545
HexNAc(2)Hex(5)	1216.4228
HexNAc(2)Hex(4)Fuc(1)	1200.4279
HexNAc(3)Hex(3)	1095.3966
HexNAc(2)Hex(4)	1054.37
HexNAc(2)Hex(3)Fuc(1)	1038.3751
HexNAc(2)Hex(10)Fuc(1)NeuAc(1)	1005.3649
HexNAc(2)Hex(3)	892.3172
HexNAc(2)Hex(11)Fuc(1)	714.2695
HexNAc(2)Hex(10)Fuc(1)	714.2695
HexNAc(2)Hex(12)	568.2116
HexNAc(2)Hex(11)	568.2116
HexNAc(2)Hex(1)	568.2116
