Local Date/Time	Relative Time	oven:setpoint [°C]
06/15/2022 13:23:12	00:00:11.254	45.000
06/15/2022 13:23:12	00:00:11.357	45.000
06/15/2022 13:23:12	00:00:11.459	45.000
06/15/2022 13:23:12	00:00:11.561	45.000
06/15/2022 13:23:12	00:00:11.663	45.000
06/15/2022 13:23:13	00:00:11.765	45.000
06/15/2022 13:23:13	00:00:11.868	45.000
06/15/2022 13:23:13	00:00:11.969	45.000
06/15/2022 13:23:13	00:00:12.071	45.000
06/15/2022 13:23:13	00:00:12.173	45.000
06/15/2022 13:23:13	00:00:12.275	45.000
06/15/2022 13:23:13	00:00:12.376	45.000
06/15/2022 13:23:13	00:00:12.476	45.000
06/15/2022 13:23:13	00:00:12.576	45.000
06/15/2022 13:23:13	00:00:12.678	45.000
06/15/2022 13:23:14	00:00:12.781	45.000
06/15/2022 13:23:14	00:00:12.883	45.000
06/15/2022 13:23:14	00:00:12.985	45.000
06/15/2022 13:23:14	00:00:13.087	45.000
06/15/2022 13:23:14	00:00:13.189	45.000
06/15/2022 13:23:14	00:00:13.291	45.000
06/15/2022 13:23:14	00:00:13.393	45.000
06/15/2022 13:23:14	00:00:13.495	45.000
06/15/2022 13:23:14	00:00:13.596	45.000
06/15/2022 13:23:15	00:00:13.696	45.000
06/15/2022 13:23:15	00:00:13.796	45.000
06/15/2022 13:23:15	00:00:13.896	45.000
06/15/2022 13:23:15	00:00:13.998	45.000
06/15/2022 13:23:15	00:00:14.101	45.000
06/15/2022 13:23:15	00:00:14.203	45.000
06/15/2022 13:23:15	00:00:14.305	45.000
06/15/2022 13:23:15	00:00:14.407	45.000
06/15/2022 13:23:15	00:00:14.509	45.000
06/15/2022 13:23:15	00:00:14.611	45.000
06/15/2022 13:23:16	00:00:14.713	45.000
06/15/2022 13:23:16	00:00:14.814	45.000
06/15/2022 13:23:16	00:00:14.914	45.000
06/15/2022 13:23:16	00:00:15.014	45.000
06/15/2022 13:23:16	00:00:15.114	45.000
06/15/2022 13:23:16	00:00:15.214	45.000
06/15/2022 13:23:16	00:00:15.314	45.000
06/15/2022 13:23:16	00:00:15.416	45.000
06/15/2022 13:23:16	00:00:15.519	45.000
06/15/2022 13:23:16	00:00:15.621	45.000
06/15/2022 13:23:17	00:00:15.723	45.000
06/15/2022 13:23:17	00:00:15.825	45.000
06/15/2022 13:23:17	00:00:15.927	45.000
06/15/2022 13:23:17	00:00:16.029	45.000
06/15/2022 13:23:17	00:00:16.131	45.000
06/15/2022 13:23:17	00:00:16.232	45.000
06/15/2022 13:23:17	00:00:16.332	45.000
06/15/2022 13:23:17	00:00:16.432	45.000
06/15/2022 13:23:17	00:00:16.532	45.000
06/15/2022 13:23:17	00:00:16.632	45.000
06/15/2022 13:23:18	00:00:16.734	45.000
06/15/2022 13:23:18	00:00:16.834	45.000
06/15/2022 13:23:18	00:00:16.937	45.000
06/15/2022 13:23:18	00:00:17.039	45.000
06/15/2022 13:23:18	00:00:17.141	45.000
06/15/2022 13:23:18	00:00:17.243	45.000
06/15/2022 13:23:18	00:00:17.345	45.000
06/15/2022 13:23:18	00:00:17.447	45.000
06/15/2022 13:23:18	00:00:17.549	45.000
06/15/2022 13:23:18	00:00:17.651	45.000
06/15/2022 13:23:19	00:00:17.752	45.000
06/15/2022 13:23:19	00:00:17.852	45.000
06/15/2022 13:23:19	00:00:17.952	45.000
06/15/2022 13:23:19	00:00:18.054	45.000
06/15/2022 13:23:19	00:00:18.156	45.000
06/15/2022 13:23:19	00:00:18.258	45.000
06/15/2022 13:23:19	00:00:18.361	45.000
06/15/2022 13:23:19	00:00:18.463	45.000
06/15/2022 13:23:19	00:00:18.565	45.000
06/15/2022 13:23:19	00:00:18.667	45.000
06/15/2022 13:23:20	00:00:18.769	45.000
06/15/2022 13:23:20	00:00:18.871	45.000
06/15/2022 13:23:20	00:00:18.973	45.000
06/15/2022 13:23:20	00:00:19.075	45.000
06/15/2022 13:23:20	00:00:19.176	45.000
06/15/2022 13:23:20	00:00:19.276	45.000
06/15/2022 13:23:20	00:00:19.376	45.000
06/15/2022 13:23:20	00:00:19.476	45.000
06/15/2022 13:23:20	00:00:19.578	45.000
06/15/2022 13:23:20	00:00:19.680	45.000
06/15/2022 13:23:21	00:00:19.783	45.000
06/15/2022 13:23:21	00:00:19.885	45.000
06/15/2022 13:23:21	00:00:19.987	45.000
06/15/2022 13:23:21	00:00:20.089	45.000
06/15/2022 13:23:21	00:00:20.191	45.000
06/15/2022 13:23:21	00:00:20.293	45.000
06/15/2022 13:23:21	00:00:20.394	45.000
06/15/2022 13:23:21	00:00:20.496	45.000
06/15/2022 13:23:21	00:00:20.596	45.000
06/15/2022 13:23:21	00:00:20.696	45.000
06/15/2022 13:23:22	00:00:20.796	45.000
06/15/2022 13:23:22	00:00:20.898	45.000
06/15/2022 13:23:22	00:00:21.000	45.000
06/15/2022 13:23:22	00:00:21.102	45.000
06/15/2022 13:23:22	00:00:21.205	45.000
06/15/2022 13:23:22	00:00:21.307	45.000
06/15/2022 13:23:22	00:00:21.409	45.000
06/15/2022 13:23:22	00:00:21.511	45.000
06/15/2022 13:23:22	00:00:21.615	45.000
06/15/2022 13:23:22	00:00:21.717	45.000
06/15/2022 13:23:23	00:00:21.819	45.000
06/15/2022 13:23:23	00:00:21.920	45.000
06/15/2022 13:23:23	00:00:22.020	45.000
06/15/2022 13:23:23	00:00:22.122	45.000
06/15/2022 13:23:23	00:00:22.222	45.000
06/15/2022 13:23:23	00:00:22.322	45.000
06/15/2022 13:23:23	00:00:22.424	45.000
06/15/2022 13:23:23	00:00:22.527	45.000
06/15/2022 13:23:23	00:00:22.629	45.000
06/15/2022 13:23:23	00:00:22.731	45.000
06/15/2022 13:23:24	00:00:22.833	45.000
06/15/2022 13:23:24	00:00:22.935	45.000
06/15/2022 13:23:24	00:00:23.037	45.000
06/15/2022 13:23:24	00:00:23.138	45.000
06/15/2022 13:23:24	00:00:23.238	45.000
06/15/2022 13:23:24	00:00:23.340	45.000
06/15/2022 13:23:24	00:00:23.440	45.000
06/15/2022 13:23:24	00:00:23.540	45.000
06/15/2022 13:23:24	00:00:23.640	45.000
06/15/2022 13:23:24	00:00:23.742	45.000
06/15/2022 13:23:25	00:00:23.844	45.000
06/15/2022 13:23:25	00:00:23.946	45.000
06/15/2022 13:23:25	00:00:24.049	45.000
06/15/2022 13:23:25	00:00:24.151	45.000
06/15/2022 13:23:25	00:00:24.253	45.000
06/15/2022 13:23:25	00:00:24.355	45.000
06/15/2022 13:23:25	00:00:24.457	45.000
06/15/2022 13:23:25	00:00:24.558	45.000
06/15/2022 13:23:25	00:00:24.658	45.000
06/15/2022 13:23:25	00:00:24.758	45.000
06/15/2022 13:23:26	00:00:24.858	45.000
06/15/2022 13:23:26	00:00:24.958	45.000
06/15/2022 13:23:26	00:00:25.060	45.000
06/15/2022 13:23:26	00:00:25.162	45.000
06/15/2022 13:23:26	00:00:25.264	45.000
06/15/2022 13:23:26	00:00:25.366	45.000
06/15/2022 13:23:26	00:00:25.469	45.000
06/15/2022 13:23:26	00:00:25.571	45.000
06/15/2022 13:23:26	00:00:25.673	45.000
06/15/2022 13:23:27	00:00:25.781	45.000
06/15/2022 13:23:27	00:00:25.882	45.000
06/15/2022 13:23:27	00:00:25.983	45.000
06/15/2022 13:23:27	00:00:26.084	45.000
06/15/2022 13:23:27	00:00:26.184	45.000
06/15/2022 13:23:27	00:00:26.284	45.000
06/15/2022 13:23:27	00:00:26.384	45.000
06/15/2022 13:23:27	00:00:26.486	45.000
