Local Date/Time	Relative Time	valve-t:angle [degrees]
06/15/2022 13:37:44	00:14:43.215	120.000
06/15/2022 13:37:45	00:14:44.219	120.000
06/15/2022 13:37:46	00:14:45.235	120.000
06/15/2022 13:37:47	00:14:46.235	120.000
06/15/2022 13:37:48	00:14:47.240	120.000
06/15/2022 13:37:49	00:14:48.243	120.000
06/15/2022 13:37:50	00:14:49.245	120.000
06/15/2022 13:37:51	00:14:50.245	120.000
06/15/2022 13:37:52	00:14:51.259	120.000
06/15/2022 13:37:53	00:14:52.261	120.000
06/15/2022 13:37:54	00:14:53.270	120.000
06/15/2022 13:37:55	00:14:54.279	120.000
06/15/2022 13:37:56	00:14:55.294	120.000
06/15/2022 13:37:57	00:14:56.292	120.000
06/15/2022 13:37:58	00:14:57.295	120.000
06/15/2022 13:37:59	00:14:58.306	120.000
06/15/2022 13:38:00	00:14:59.306	120.000
06/15/2022 13:38:01	00:15:00.315	120.000
06/15/2022 13:38:02	00:15:01.326	120.000
06/15/2022 13:38:03	00:15:02.323	120.000
06/15/2022 13:38:04	00:15:03.324	120.000
06/15/2022 13:38:05	00:15:04.331	120.000
06/15/2022 13:38:06	00:15:05.339	120.000
06/15/2022 13:38:07	00:15:06.354	120.000
06/15/2022 13:38:08	00:15:07.357	120.000
06/15/2022 13:38:09	00:15:08.361	120.000
06/15/2022 13:38:10	00:15:09.375	120.000
06/15/2022 13:38:11	00:15:10.380	120.000
06/15/2022 13:38:12	00:15:11.385	120.000
06/15/2022 13:38:13	00:15:12.388	120.000
06/15/2022 13:38:14	00:15:13.387	120.000
06/15/2022 13:38:15	00:15:14.403	120.000
06/15/2022 13:38:16	00:15:15.403	120.000
06/15/2022 13:38:17	00:15:16.405	120.000
06/15/2022 13:38:18	00:15:17.417	120.000
06/15/2022 13:38:19	00:15:18.421	120.000
06/15/2022 13:38:20	00:15:19.418	120.000
06/15/2022 13:38:21	00:15:20.422	120.000
06/15/2022 13:38:22	00:15:21.432	120.000
06/15/2022 13:38:23	00:15:22.441	120.000
06/15/2022 13:38:24	00:15:23.441	120.000
06/15/2022 13:38:25	00:15:24.450	120.000
06/15/2022 13:38:26	00:15:25.457	120.000
06/15/2022 13:38:27	00:15:26.464	120.000
06/15/2022 13:38:28	00:15:27.479	120.000
06/15/2022 13:38:29	00:15:28.480	120.000
06/15/2022 13:38:30	00:15:29.480	120.000
06/15/2022 13:38:31	00:15:30.483	120.000
06/15/2022 13:38:32	00:15:31.487	120.000
06/15/2022 13:38:33	00:15:32.500	120.000
06/15/2022 13:38:34	00:15:33.510	120.000
06/15/2022 13:38:35	00:15:34.520	120.000
06/15/2022 13:38:36	00:15:35.528	120.000
06/15/2022 13:38:37	00:15:36.535	120.000
06/15/2022 13:38:38	00:15:37.536	120.000
06/15/2022 13:38:39	00:15:38.544	120.000
06/15/2022 13:38:40	00:15:39.558	120.000
06/15/2022 13:38:41	00:15:40.565	120.000
06/15/2022 13:38:42	00:15:41.573	120.000
06/15/2022 13:38:43	00:15:42.575	120.000
06/15/2022 13:38:44	00:15:43.576	120.000
06/15/2022 13:38:45	00:15:44.592	120.000
06/15/2022 13:38:46	00:15:45.597	120.000
06/15/2022 13:38:47	00:15:46.607	120.000
06/15/2022 13:38:48	00:15:47.614	120.000
06/15/2022 13:38:49	00:15:48.623	120.000
06/15/2022 13:38:50	00:15:49.630	120.000
06/15/2022 13:38:51	00:15:50.630	120.000
06/15/2022 13:38:52	00:15:51.635	120.000
06/15/2022 13:38:53	00:15:52.636	120.000
06/15/2022 13:38:54	00:15:53.637	120.000
06/15/2022 13:38:55	00:15:54.652	120.000
06/15/2022 13:38:56	00:15:55.654	120.000
06/15/2022 13:38:57	00:15:56.661	120.000
06/15/2022 13:38:58	00:15:57.668	120.000
06/15/2022 13:38:59	00:15:58.668	120.000
06/15/2022 13:39:00	00:15:59.670	120.000
06/15/2022 13:39:01	00:16:00.669	120.000
06/15/2022 13:39:02	00:16:01.672	120.000
