Local Date/Time	Relative Time	pump-a:pressure [bar]
06/15/2022 13:44:59	00:21:57.791	375.441
06/15/2022 13:44:59	00:21:58.651	375.283
06/15/2022 13:45:00	00:21:58.953	375.402
06/15/2022 13:45:00	00:21:59.259	375.560
06/15/2022 13:45:01	00:21:59.969	375.421
06/15/2022 13:45:02	00:22:01.824	375.421
06/15/2022 13:45:03	00:22:01.824	375.421
06/15/2022 13:45:03	00:22:02.300	375.283
06/15/2022 13:45:04	00:22:03.519	375.402
06/15/2022 13:45:05	00:22:04.839	375.402
06/15/2022 13:45:06	00:22:04.839	375.402
06/15/2022 13:45:06	00:22:05.144	375.283
06/15/2022 13:45:07	00:22:06.859	375.283
06/15/2022 13:45:08	00:22:07.870	375.283
06/15/2022 13:45:09	00:22:08.879	375.283
06/15/2022 13:45:10	00:22:08.879	375.283
06/15/2022 13:45:10	00:22:09.202	375.402
06/15/2022 13:45:11	00:22:10.892	375.402
06/15/2022 13:45:12	00:22:10.892	375.402
06/15/2022 13:45:12	00:22:11.331	375.224
06/15/2022 13:45:12	00:22:11.841	375.382
06/15/2022 13:45:13	00:22:12.908	375.382
06/15/2022 13:45:15	00:22:13.915	375.382
06/15/2022 13:45:16	00:22:14.924	375.382
06/15/2022 13:45:17	00:22:15.934	375.382
06/15/2022 13:45:18	00:22:16.947	375.382
06/15/2022 13:45:19	00:22:16.947	375.382
06/15/2022 13:45:19	00:22:17.831	375.500
06/15/2022 13:45:20	00:22:18.537	375.382
06/15/2022 13:45:21	00:22:19.957	375.520
06/15/2022 13:45:22	00:22:20.161	375.638
06/15/2022 13:45:22	00:22:20.468	375.520
06/15/2022 13:45:22	00:22:20.569	375.402
06/15/2022 13:45:23	00:22:21.981	375.402
06/15/2022 13:45:24	00:22:22.983	375.402
06/15/2022 13:45:25	00:22:22.983	375.402
06/15/2022 13:45:25	00:22:23.713	375.520
06/15/2022 13:45:26	00:22:24.527	375.402
06/15/2022 13:45:27	00:22:25.743	375.520
06/15/2022 13:45:28	00:22:27.020	375.520
06/15/2022 13:45:29	00:22:28.025	375.520
06/15/2022 13:45:30	00:22:28.025	375.520
06/15/2022 13:45:30	00:22:28.387	375.382
06/15/2022 13:45:30	00:22:28.794	375.500
06/15/2022 13:45:31	00:22:29.605	375.343
06/15/2022 13:45:32	00:22:30.519	375.461
06/15/2022 13:45:33	00:22:31.433	375.638
06/15/2022 13:45:33	00:22:31.839	375.461
06/15/2022 13:45:33	00:22:32.039	375.599
06/15/2022 13:45:34	00:22:33.056	375.599
06/15/2022 13:45:35	00:22:33.056	375.599
06/15/2022 13:45:35	00:22:33.058	375.757
06/15/2022 13:45:36	00:22:35.058	375.757
06/15/2022 13:45:37	00:22:35.058	375.757
06/15/2022 13:45:37	00:22:35.087	375.914
06/15/2022 13:45:37	00:22:35.495	375.776
06/15/2022 13:45:38	00:22:36.307	375.895
06/15/2022 13:45:39	00:22:38.072	375.895
06/15/2022 13:45:40	00:22:38.072	375.895
06/15/2022 13:45:40	00:22:38.237	375.757
06/15/2022 13:45:41	00:22:40.075	375.757
06/15/2022 13:45:42	00:22:40.075	375.757
06/15/2022 13:45:42	00:22:40.169	375.619
06/15/2022 13:45:43	00:22:41.590	375.757
06/15/2022 13:45:43	00:22:41.895	375.599
06/15/2022 13:45:44	00:22:42.099	375.717
06/15/2022 13:45:44	00:22:42.507	375.540
06/15/2022 13:45:44	00:22:42.812	375.698
06/15/2022 13:45:45	00:22:43.213	375.579
06/15/2022 13:45:45	00:22:43.519	375.698
06/15/2022 13:45:45	00:22:43.927	375.579
06/15/2022 13:45:46	00:22:45.103	375.579
06/15/2022 13:45:47	00:22:45.103	375.579
06/15/2022 13:45:47	00:22:45.247	375.717
06/15/2022 13:45:47	00:22:46.057	375.599
06/15/2022 13:45:48	00:22:46.159	375.481
06/15/2022 13:45:48	00:22:47.074	375.343
06/15/2022 13:45:49	00:22:48.089	375.165
06/15/2022 13:45:50	00:22:49.135	375.165
06/15/2022 13:45:51	00:22:50.138	375.165
06/15/2022 13:45:52	00:22:51.144	375.165
06/15/2022 13:45:53	00:22:51.144	375.165
06/15/2022 13:45:53	00:22:51.639	375.027
06/15/2022 13:45:54	00:22:52.756	374.889
06/15/2022 13:45:55	00:22:53.161	375.007
06/15/2022 13:45:55	00:22:53.980	374.889
06/15/2022 13:45:56	00:22:55.094	374.751
06/15/2022 13:45:57	00:22:56.175	374.751
06/15/2022 13:45:58	00:22:56.175	374.751
06/15/2022 13:45:58	00:22:56.311	374.633
06/15/2022 13:45:59	00:22:58.199	374.633
06/15/2022 13:46:00	00:22:59.200	374.633
