Local Date/Time	Relative Time	pump-b:pressure [bar]
06/15/2022 13:25:22	00:02:20.432	0.749
06/15/2022 13:25:22	00:02:21.307	0.631
06/15/2022 13:25:23	00:02:21.609	0.769
06/15/2022 13:25:24	00:02:23.464	0.769
06/15/2022 13:25:25	00:02:24.463	0.769
06/15/2022 13:25:26	00:02:25.466	0.769
06/15/2022 13:25:27	00:02:26.462	0.769
06/15/2022 13:25:28	00:02:26.462	0.769
06/15/2022 13:25:28	00:02:27.389	0.592
06/15/2022 13:25:29	00:02:28.464	0.592
06/15/2022 13:25:30	00:02:28.464	0.592
06/15/2022 13:25:30	00:02:28.503	0.769
06/15/2022 13:25:31	00:02:30.331	0.651
06/15/2022 13:25:32	00:02:30.939	0.769
06/15/2022 13:25:33	00:02:32.493	0.769
06/15/2022 13:25:34	00:02:32.493	0.769
06/15/2022 13:25:34	00:02:33.273	0.651
06/15/2022 13:25:35	00:02:33.981	0.789
06/15/2022 13:25:36	00:02:35.510	0.789
06/15/2022 13:25:37	00:02:36.510	0.789
06/15/2022 13:25:38	00:02:37.524	0.789
06/15/2022 13:25:39	00:02:38.525	0.789
06/15/2022 13:25:40	00:02:38.525	0.789
06/15/2022 13:25:40	00:02:38.755	0.611
06/15/2022 13:25:40	00:02:39.258	0.730
06/15/2022 13:25:41	00:02:40.547	0.730
06/15/2022 13:25:42	00:02:40.547	0.730
06/15/2022 13:25:42	00:02:41.387	0.592
06/15/2022 13:25:43	00:02:41.692	0.710
06/15/2022 13:25:44	00:02:43.567	0.710
06/15/2022 13:25:45	00:02:43.567	0.710
06/15/2022 13:25:45	00:02:44.023	0.572
06/15/2022 13:25:45	00:02:44.329	0.769
06/15/2022 13:25:46	00:02:44.933	0.651
06/15/2022 13:25:47	00:02:46.586	0.651
06/15/2022 13:25:48	00:02:46.586	0.651
06/15/2022 13:25:48	00:02:46.657	0.769
06/15/2022 13:25:48	00:02:46.861	0.651
06/15/2022 13:25:49	00:02:48.179	0.769
06/15/2022 13:25:50	00:02:48.689	0.631
06/15/2022 13:25:50	00:02:49.193	0.769
06/15/2022 13:25:51	00:02:50.603	0.769
06/15/2022 13:25:52	00:02:50.603	0.769
06/15/2022 13:25:52	00:02:50.917	0.631
06/15/2022 13:25:52	00:02:51.325	0.769
06/15/2022 13:25:53	00:02:51.830	0.651
06/15/2022 13:25:53	00:02:52.133	0.769
06/15/2022 13:25:54	00:02:53.634	0.769
06/15/2022 13:25:55	00:02:54.633	0.769
06/15/2022 13:25:56	00:02:55.634	0.769
06/15/2022 13:25:57	00:02:55.634	0.769
06/15/2022 13:25:57	00:02:56.082	0.611
06/15/2022 13:25:57	00:02:56.489	0.789
06/15/2022 13:25:58	00:02:56.999	0.670
06/15/2022 13:25:59	00:02:58.316	0.789
06/15/2022 13:26:00	00:02:58.918	0.670
06/15/2022 13:26:01	00:03:00.634	0.670
06/15/2022 13:26:02	00:03:00.634	0.670
06/15/2022 13:26:02	00:03:00.747	0.809
06/15/2022 13:26:03	00:03:01.959	0.670
06/15/2022 13:26:04	00:03:03.172	0.828
06/15/2022 13:26:05	00:03:03.887	0.690
06/15/2022 13:26:06	00:03:05.306	0.828
06/15/2022 13:26:06	00:03:05.608	0.690
06/15/2022 13:26:07	00:03:06.634	0.690
06/15/2022 13:26:08	00:03:06.634	0.690
06/15/2022 13:26:08	00:03:07.330	0.809
06/15/2022 13:26:09	00:03:07.841	0.690
06/15/2022 13:26:09	00:03:08.646	0.809
06/15/2022 13:26:10	00:03:09.365	0.670
06/15/2022 13:26:11	00:03:10.170	0.789
06/15/2022 13:26:12	00:03:11.592	0.651
06/15/2022 13:26:13	00:03:12.001	0.789
06/15/2022 13:26:14	00:03:13.681	0.789
06/15/2022 13:26:15	00:03:14.684	0.789
06/15/2022 13:26:16	00:03:15.698	0.789
06/15/2022 13:26:17	00:03:16.714	0.789
06/15/2022 13:26:18	00:03:16.714	0.789
06/15/2022 13:26:18	00:03:17.685	0.651
06/15/2022 13:26:19	00:03:18.286	0.769
06/15/2022 13:26:20	00:03:18.897	0.651
