Local Date/Time	Relative Time	pump-a:volume [%]
06/15/2022 13:23:46	00:00:45.434	75.246
06/15/2022 13:23:46	00:00:45.634	75.262
06/15/2022 13:23:46	00:00:45.834	75.273
06/15/2022 13:23:47	00:00:46.038	75.284
06/15/2022 13:23:47	00:00:46.242	75.294
06/15/2022 13:23:47	00:00:46.549	75.306
06/15/2022 13:23:48	00:00:46.956	75.318
06/15/2022 13:23:48	00:00:47.462	75.330
06/15/2022 13:23:49	00:00:48.075	75.340
06/15/2022 13:23:50	00:00:49.090	75.351
06/15/2022 13:23:51	00:00:50.819	75.361
06/15/2022 13:23:52	00:00:51.888	75.361
06/15/2022 13:23:54	00:00:52.920	75.361
06/15/2022 13:23:55	00:00:52.920	75.361
06/15/2022 13:23:55	00:00:53.656	75.371
06/15/2022 13:23:56	00:00:54.932	75.371
06/15/2022 13:23:57	00:00:55.932	75.371
06/15/2022 13:23:58	00:00:56.933	75.371
06/15/2022 13:23:59	00:00:56.933	75.371
06/15/2022 13:23:59	00:00:57.810	75.381
06/15/2022 13:24:00	00:00:58.934	75.381
06/15/2022 13:24:01	00:00:59.936	75.381
06/15/2022 13:24:02	00:01:00.937	75.381
06/15/2022 13:24:03	00:01:01.946	75.381
06/15/2022 13:24:04	00:01:02.946	75.381
06/15/2022 13:24:05	00:01:02.946	75.381
06/15/2022 13:24:05	00:01:03.396	75.391
06/15/2022 13:24:06	00:01:04.949	75.391
06/15/2022 13:24:07	00:01:05.962	75.391
06/15/2022 13:24:08	00:01:06.963	75.391
06/15/2022 13:24:09	00:01:07.979	75.391
06/15/2022 13:24:10	00:01:08.994	75.391
06/15/2022 13:24:11	00:01:08.994	75.391
06/15/2022 13:24:11	00:01:09.584	75.401
06/15/2022 13:24:12	00:01:11.010	75.401
06/15/2022 13:24:13	00:01:12.011	75.401
06/15/2022 13:24:14	00:01:13.012	75.401
06/15/2022 13:24:15	00:01:14.012	75.401
06/15/2022 13:24:16	00:01:15.028	75.401
06/15/2022 13:24:17	00:01:15.028	75.401
06/15/2022 13:24:17	00:01:15.975	75.411
06/15/2022 13:24:18	00:01:17.044	75.411
06/15/2022 13:24:19	00:01:18.043	75.411
